code,name,theme,priority,locked,status,source_report,reason,last_action,note
600584,长电科技,先进封装/半导体封测,high,true,active,v1.6.1固定池,Core固定观察股,keep,locked=true不得remove
688820,盛合晶微,先进封装/Chiplet/2.5D/3DIC,high,false,active,v1.6.1固定池,先进封装弹性核心,keep,价格与成交字段必须校验时点
688981,中芯国际,半导体制造,high,false,active,v1.6.1固定池,半导体制造中军,keep,Core
000977,浪潮信息,AI服务器/国产算力,high,false,active,v1.6.1固定池,AI服务器与超节点中军,keep,Core
000938,紫光股份,交换机/算力网络/服务器,high,false,active,v1.6.1固定池,交换机和数据中心网络中军,keep,Core
603019,中科曙光,国产算力/AI服务器,high,false,active,v1.6.1固定池,国产算力服务器中军,keep,Core
688256,寒武纪,AI芯片/国产算力,high,false,active,v1.6.1固定池,国产AI芯片核心,keep,Core
300308,中际旭创,AI运力/光模块/CPO,high,false,active,v1.6.1固定池,高速光模块全球映射锚,keep,Core
300502,新易盛,AI运力/光模块/CPO,high,false,active,v1.6.1固定池,高速光模块核心,keep,Core
002371,北方华创,半导体设备,high,false,active,v1.6.1固定池,半导体设备中军,keep,Core
001287,中电港,AI硬件/存储涨价/电子元器件分销,medium,false,active,v1.6.1固定池,存储与AI硬件分销观察,keep,Watch
301308,江波龙,存储芯片/端侧AI存储,medium,false,active,v1.6.1固定池,存储芯片业绩与周期锚,keep,Watch
002396,星网锐捷,交换机/数据中心网络,medium,false,active,v1.6.1固定池,交换机情绪观察,keep,Watch
002837,英维克,液冷散热/机柜级液冷,medium,false,active,v1.6.1固定池,AI数据中心液冷核心,keep,Watch
002156,通富微电,先进封装/半导体封测,medium,true,active,v1.6.1固定池,先进封装扩散观察,keep,历史locked保留
002185,华天科技,先进封装/半导体封测,medium,true,active,v1.6.1固定池,先进封装扩散观察,keep,历史locked保留
300476,胜宏科技,AI运力/高速PCB,medium,false,active,v1.6.1固定池,AI服务器PCB观察,keep,Watch
688361,中科飞测,半导体设备/检测,medium,false,active,v1.6.1固定池,半导体检测设备观察,keep,Watch
688596,正帆科技,半导体设备/材料,medium,false,active,v1.6.1固定池,半导体设备材料观察,keep,Watch
603087,甘李药业,医药/创新药,medium,false,active,v1.6.1固定池,非科技进攻线观察,keep,Watch
600521,华海药业,医药/原料药/创新药,medium,false,active,v1.6.1固定池,医药制造观察,keep,Watch
300821,东岳硅材,有机硅/周期化工,medium,false,active,v1.6.1固定池,周期化工观察,keep,Watch
603618,杭电股份,光纤光缆/光通信,medium,false,active,v1.6.1固定池,光通信扩散观察,keep,Watch
600172,黄河旋风,培育钻石/金刚石散热,medium,false,active,v1.6.1固定池,资源与散热材料观察,keep,Watch
603290,斯达半导,功率半导体/IGBT模块/AI电力运力上游,medium,true,active,v1.6.1公开专项,公开专项补充股,keep,Supplemental不计质量闸门
